neighborhood_name,classification_name,property_type_name,price,area
حي/ال غليظ,سكني,قطعة أرض,500000,540
حي/السوده,سكني,قطعة أرض,300000,900
حي/السوده,سكني,قطعة أرض,450000,900
حي/المحالة ام نجم,سكني,قطعة أرض,530000,735
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,125000,750
حي/الواقعة فى قرية الغرابة,سكني,قطعة أرض,3000000,4590
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,530.97
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,536
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,300
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,337.23
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,335
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,345.55
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,351.6
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,777.66
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,733.37
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,639.83
حي/مربه,سكني,قطعة أرض,100000,580
حي/ال غليظ,سكني,قطعة أرض,570000,600
حي/ال غليظ,سكني,قطعة أرض,450000,609
حي/السوده,سكني,قطعة أرض,1200000,450
حي/القارية,سكني,قطعة أرض,250000,700
حي/المحاله,سكني,قطعة أرض,500000,680
حي/المشاربه مقابل قوات الطوارى على طريق بنى مالك,سكني,قطعة أرض,300000,749.94
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,489.72
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,500
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,500
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,615.06
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,696.47
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,556.25
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,638.42
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,621.11
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,542.23
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,420.35
حي/سر لعصان,سكني,قطعة أرض,800000,575
حي/سر لعصان,سكني,قطعة أرض,800000,575
حي/شمال ابها,سكني,قطعة أرض,200000,706.1
حي/المحاله,سكني,قطعة أرض,360000,801
حي/الهيام شمال العرين,سكني,قطعة أرض,509000,662
حي/حجلا,سكني,قطعة أرض,550000,404
حي/حجلا,سكني,قطعة أرض,500000,400
حي/حجلا,سكني,قطعة أرض,490000,400
حي/لعصان,زراعي,شقة,800000,398.06
حي/مدينه سلطان,سكني,قطعة أرض,300000,684
حي/ال جليحه,سكني,قطعة أرض,100000,725
حي/ال جليحه بالشعف,سكني,قطعة أرض,100000,690
حي/ال غليظ,سكني,قطعة أرض,100000,660
حي/المحالة,سكني,قطعة أرض,400000,612.5
حي/المحالة ام نجم,سكني,قطعة أرض,2500000,700
حي/المحالة مدينة سلطان,سكني,قطعة أرض,500000,600
حي/المحاله,سكني,قطعة أرض,500000,740
حي/الموظفين,سكني,قطعة أرض,630000,312.5
حي/النميص سر ذى النميص,سكني,قطعة أرض,578400,723
حي/ذرة,سكني,بيت,1350000,312
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,425000,300
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,425000,304.41
حي/لعصان,زراعي,شقة,800000,398.06
حي/الحبيل,سكني,قطعة أرض,40000,640
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,260000,625
حي/القارية بالشعف,سكني,قطعة أرض,100000,700
حي/المحالة مدينة سلطان,سكني,قطعة أرض,600000,600
حي/المحاله,سكني,قطعة أرض,495000,300
حي/المحاله,سكني,قطعة أرض,586575,355.5
حي/المنسك بابها,سكني,قطعة أرض,1695000,389.6
حي/الهيام شمال العرين,سكني,فيلا,300000,723.01
حي/حجلا,سكني,قطعة أرض,200000,450
حي/حجلا,سكني,قطعة أرض,385000,400
حي/حجلا,زراعي,أرض زراعية,4000000,60350
حي/سر لعصان,سكني,قطعة أرض,621900,625
حي/الحمراوين,سكني,قطعة أرض,300000,470.12
حي/المحاله,سكني,قطعة أرض,880000,700
حي/المروج بالمنسك,زراعي,شقة,400000,753.45
